CELL_ID,VALUE,ANNOTATION_LABEL
1,9,Cluster 9 - other cells
2,6,Cluster 6 - CD3e+ CD4+ T cells
3,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
4,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
5,1,Cluster 1 - CD3e+ CD8+ T cells
6,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
7,2,Cluster 2 - CD38+ IFNg+ cells
8,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
9,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
10,10,Cluster 10 - aSMA+ Vimentin+ fibroblasts
11,1,Cluster 1 - CD3e+ CD8+ T cells
12,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
13,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
14,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
15,10,Cluster 10 - aSMA+ Vimentin+ fibroblasts
16,2,Cluster 2 - CD38+ IFNg+ cells
17,6,Cluster 6 - CD3e+ CD4+ T cells
18,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
19,9,Cluster 9 - other cells
20,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
21,9,Cluster 9 - other cells
22,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
23,1,Cluster 1 - CD3e+ CD8+ T cells
24,10,Cluster 10 - aSMA+ Vimentin+ fibroblasts
25,6,Cluster 6 - CD3e+ CD4+ T cells
26,17,Cluster 17 - CD68+ CD44+ cells
27,1,Cluster 1 - CD3e+ CD8+ T cells
28,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
29,1,Cluster 1 - CD3e+ CD8+ T cells
30,1,Cluster 1 - CD3e+ CD8+ T cells
31,6,Cluster 6 - CD3e+ CD4+ T cells
32,10,Cluster 10 - aSMA+ Vimentin+ fibroblasts
33,2,Cluster 2 - CD38+ IFNg+ cells
34,9,Cluster 9 - other cells
35,8,Cluster 8 - CD31+ CD34+ Vimentin+ interstitial cells
36,2,Cluster 2 - CD38+ IFNg+ cells
37,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
38,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
39,2,Cluster 2 - CD38+ IFNg+ cells
40,1,Cluster 1 - CD3e+ CD8+ T cells
41,6,Cluster 6 - CD3e+ CD4+ T cells
42,2,Cluster 2 - CD38+ IFNg+ cells
43,2,Cluster 2 - CD38+ IFNg+ cells
44,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
45,0,Cluster 0 - CD14+ CD163+ CD68+ Macrophages
46,6,Cluster 6 - CD3e+ CD4+ T cells
