CELL_ID,VALUE,ANNOTATION_LABEL
1,4,Distal tubules (CD183+/CD227+)
2,0,Proximal tubules (CD183++/CD227-)
3,6,Basement membrane (collagenIV+/Perlecan+)
4,4,Distal tubules (CD183+/CD227+)
5,4,Distal tubules (CD183+/CD227+)
6,6,Basement membrane (collagenIV+/Perlecan+)
7,1,VSMCs (aSMA+)
8,5,Low expressing cells
9,0,Proximal tubules (CD183++/CD227-)
10,4,Distal tubules (CD183+/CD227+)
11,5,Low expressing cells
12,8,Macrophages (CD45+/CD68+)
13,5,Low expressing cells
14,10,Nestin+ cells (nestin+)
15,7,Endothelial cells (CD31+/CD196+)
16,0,Proximal tubules (CD183++/CD227-)
17,4,Distal tubules (CD183+/CD227+)
18,2,Immune cells (CD45+)
19,2,Immune cells (CD45+)
20,6,Basement membrane (collagenIV+/Perlecan+)
21,8,Macrophages (CD45+/CD68+)
22,0,Proximal tubules (CD183++/CD227-)
23,0,Proximal tubules (CD183++/CD227-)
24,6,Basement membrane (collagenIV+/Perlecan+)
25,4,Distal tubules (CD183+/CD227+)
26,4,Distal tubules (CD183+/CD227+)
27,4,Distal tubules (CD183+/CD227+)
28,0,Proximal tubules (CD183++/CD227-)
29,6,Basement membrane (collagenIV+/Perlecan+)
30,1,VSMCs (aSMA+)
31,4,Distal tubules (CD183+/CD227+)
32,0,Proximal tubules (CD183++/CD227-)
33,2,Immune cells (CD45+)
34,1,VSMCs (aSMA+)
35,0,Proximal tubules (CD183++/CD227-)
36,0,Proximal tubules (CD183++/CD227-)
37,1,VSMCs (aSMA+)
38,3,Endothelial cells (CD31+)
39,4,Distal tubules (CD183+/CD227+)
40,4,Distal tubules (CD183+/CD227+)
41,4,Distal tubules (CD183+/CD227+)
42,0,Proximal tubules (CD183++/CD227-)
43,8,Macrophages (CD45+/CD68+)
44,0,Proximal tubules (CD183++/CD227-)
45,5,Low expressing cells
46,0,Proximal tubules (CD183++/CD227-)
47,4,Distal tubules (CD183+/CD227+)
48,0,Proximal tubules (CD183++/CD227-)
49,1,VSMCs (aSMA+)
50,8,Macrophages (CD45+/CD68+)
51,0,Proximal tubules (CD183++/CD227-)
52,1,VSMCs (aSMA+)
53,0,Proximal tubules (CD183++/CD227-)
54,4,Distal tubules (CD183+/CD227+)
55,4,Distal tubules (CD183+/CD227+)
56,6,Basement membrane (collagenIV+/Perlecan+)
57,4,Distal tubules (CD183+/CD227+)
58,3,Endothelial cells (CD31+)
59,3,Endothelial cells (CD31+)
60,4,Distal tubules (CD183+/CD227+)
61,4,Distal tubules (CD183+/CD227+)
62,4,Distal tubules (CD183+/CD227+)
63,3,Endothelial cells (CD31+)
64,5,Low expressing cells
65,1,VSMCs (aSMA+)
66,0,Proximal tubules (CD183++/CD227-)
67,1,VSMCs (aSMA+)
68,4,Distal tubules (CD183+/CD227+)
69,2,Immune cells (CD45+)
70,0,Proximal tubules (CD183++/CD227-)
71,4,Distal tubules (CD183+/CD227+)
72,6,Basement membrane (collagenIV+/Perlecan+)
73,0,Proximal tubules (CD183++/CD227-)
74,4,Distal tubules (CD183+/CD227+)
75,2,Immune cells (CD45+)
76,3,Endothelial cells (CD31+)
77,0,Proximal tubules (CD183++/CD227-)
78,6,Basement membrane (collagenIV+/Perlecan+)
79,0,Proximal tubules (CD183++/CD227-)
80,5,Low expressing cells
81,0,Proximal tubules (CD183++/CD227-)
82,3,Endothelial cells (CD31+)
83,2,Immune cells (CD45+)
84,4,Distal tubules (CD183+/CD227+)
85,0,Proximal tubules (CD183++/CD227-)
86,6,Basement membrane (collagenIV+/Perlecan+)
87,8,Macrophages (CD45+/CD68+)
88,3,Endothelial cells (CD31+)
89,7,Endothelial cells (CD31+/CD196+)
90,4,Distal tubules (CD183+/CD227+)
91,1,VSMCs (aSMA+)
92,2,Immune cells (CD45+)
93,0,Proximal tubules (CD183++/CD227-)
94,6,Basement membrane (collagenIV+/Perlecan+)
95,4,Distal tubules (CD183+/CD227+)
96,1,VSMCs (aSMA+)
97,4,Distal tubules (CD183+/CD227+)
98,4,Distal tubules (CD183+/CD227+)
99,4,Distal tubules (CD183+/CD227+)
100,4,Distal tubules (CD183+/CD227+)
101,4,Distal tubules (CD183+/CD227+)
102,6,Basement membrane (collagenIV+/Perlecan+)
103,4,Distal tubules (CD183+/CD227+)
104,0,Proximal tubules (CD183++/CD227-)
105,7,Endothelial cells (CD31+/CD196+)
106,3,Endothelial cells (CD31+)
107,0,Proximal tubules (CD183++/CD227-)
108,0,Proximal tubules (CD183++/CD227-)
109,0,Proximal tubules (CD183++/CD227-)
110,2,Immune cells (CD45+)
111,4,Distal tubules (CD183+/CD227+)
112,4,Distal tubules (CD183+/CD227+)
113,0,Proximal tubules (CD183++/CD227-)
114,4,Distal tubules (CD183+/CD227+)
115,1,VSMCs (aSMA+)
116,1,VSMCs (aSMA+)
117,6,Basement membrane (collagenIV+/Perlecan+)
118,3,Endothelial cells (CD31+)
119,3,Endothelial cells (CD31+)
120,3,Endothelial cells (CD31+)
121,0,Proximal tubules (CD183++/CD227-)
122,0,Proximal tubules (CD183++/CD227-)
123,0,Proximal tubules (CD183++/CD227-)
124,0,Proximal tubules (CD183++/CD227-)
125,0,Proximal tubules (CD183++/CD227-)
126,1,VSMCs (aSMA+)
127,6,Basement membrane (collagenIV+/Perlecan+)
128,4,Distal tubules (CD183+/CD227+)
