CELL_ID,VALUE,ANNOTATION_LABEL
1,3,Stromal cells
2,3,Stromal cells
3,3,Stromal cells
4,8,non-specific
5,3,Stromal cells
6,8,non-specific
7,9,CD8 T cells
8,3,Stromal cells
9,8,non-specific
10,8,non-specific
11,3,Stromal cells
12,3,Stromal cells
13,8,non-specific
14,10,Endothelial
15,8,non-specific
16,3,Stromal cells
17,3,Stromal cells
18,10,Endothelial
19,3,Stromal cells
20,10,Endothelial
21,10,Endothelial
22,10,Endothelial
23,8,non-specific
24,8,non-specific
25,3,Stromal cells
26,2,CD4 T cells
27,8,non-specific
28,3,Stromal cells
29,10,Endothelial
30,8,non-specific
31,8,non-specific
32,8,non-specific
33,3,Stromal cells
34,8,non-specific
35,8,non-specific
36,3,Stromal cells
37,3,Stromal cells
38,2,CD4 T cells
39,8,non-specific
40,3,Stromal cells
41,8,non-specific
42,8,non-specific
43,10,Endothelial
44,3,Stromal cells
45,3,Stromal cells
46,10,Endothelial
47,4,Duct
48,8,non-specific
49,10,Endothelial
50,0,Macrophages
51,3,Stromal cells
52,3,Stromal cells
53,3,Stromal cells
54,3,Stromal cells
55,4,Duct
56,3,Stromal cells
57,3,Stromal cells
58,3,Stromal cells
59,3,Stromal cells
60,3,Stromal cells
61,2,CD4 T cells
62,3,Stromal cells
63,8,non-specific
64,3,Stromal cells
65,0,Macrophages
66,9,CD8 T cells
67,2,CD4 T cells
68,2,CD4 T cells
69,7,Prox. tube
70,10,Endothelial
71,3,Stromal cells
72,3,Stromal cells
73,4,Duct
74,2,CD4 T cells
75,8,non-specific
76,8,non-specific
77,3,Stromal cells
78,4,Duct
79,2,CD4 T cells
80,4,Duct
81,8,non-specific
82,3,Stromal cells
83,2,CD4 T cells
84,7,Prox. tube
85,9,CD8 T cells
86,8,non-specific
87,9,CD8 T cells
88,8,non-specific
89,4,Duct
90,9,CD8 T cells
91,3,Stromal cells
92,10,Endothelial
93,3,Stromal cells
94,10,Endothelial
95,3,Stromal cells
96,4,Duct
97,2,CD4 T cells
98,7,Prox. tube
99,2,CD4 T cells
100,8,non-specific
101,8,non-specific
102,7,Prox. tube
103,3,Stromal cells
104,8,non-specific
105,4,Duct
106,3,Stromal cells
107,2,CD4 T cells
108,9,CD8 T cells
109,3,Stromal cells
110,9,CD8 T cells
111,4,Duct
112,4,Duct
113,10,Endothelial
114,0,Macrophages
115,7,Prox. tube
116,0,Macrophages
117,10,Endothelial
118,10,Endothelial
119,10,Endothelial
120,0,Macrophages
121,3,Stromal cells
122,10,Endothelial
123,8,non-specific
124,2,CD4 T cells
125,3,Stromal cells
126,9,CD8 T cells
127,8,non-specific
128,3,Stromal cells
129,3,Stromal cells
130,4,Duct
131,4,Duct
132,7,Prox. tube
133,4,Duct
134,2,CD4 T cells
135,7,Prox. tube
136,8,non-specific
137,7,Prox. tube
138,8,non-specific
139,7,Prox. tube
140,4,Duct
141,10,Endothelial
142,7,Prox. tube
143,10,Endothelial
144,2,CD4 T cells
145,2,CD4 T cells
146,10,Endothelial
147,2,CD4 T cells
148,0,Macrophages
149,7,Prox. tube
150,2,CD4 T cells
151,8,non-specific
152,4,Duct
153,4,Duct
154,4,Duct
155,8,non-specific
156,3,Stromal cells
157,7,Prox. tube
158,4,Duct
159,4,Duct
160,6,Podocytes
161,7,Prox. tube
162,7,Prox. tube
163,4,Duct
164,6,Podocytes
165,7,Prox. tube
166,4,Duct
167,3,Stromal cells
168,10,Endothelial
169,8,non-specific
170,8,non-specific
171,2,CD4 T cells
172,0,Macrophages
173,10,Endothelial
174,3,Stromal cells
175,8,non-specific
176,2,CD4 T cells
177,4,Duct
178,9,CD8 T cells
179,10,Endothelial
180,4,Duct
181,7,Prox. tube
182,7,Prox. tube
183,7,Prox. tube
184,9,CD8 T cells
185,4,Duct
186,8,non-specific
187,7,Prox. tube
188,8,non-specific
189,8,non-specific
190,10,Endothelial
191,4,Duct
192,10,Endothelial
193,10,Endothelial
194,3,Stromal cells
195,7,Prox. tube
196,4,Duct
197,7,Prox. tube
198,3,Stromal cells
199,4,Duct
200,8,non-specific
201,10,Endothelial
202,4,Duct
203,3,Stromal cells
204,9,CD8 T cells
205,6,Podocytes
206,3,Stromal cells
207,10,Endothelial
208,7,Prox. tube
209,1,Dist. tube
210,7,Prox. tube
211,7,Prox. tube
212,4,Duct
213,8,non-specific
214,4,Duct
215,2,CD4 T cells
216,4,Duct
217,10,Endothelial
218,10,Endothelial
219,3,Stromal cells
220,7,Prox. tube
221,8,non-specific
222,3,Stromal cells
223,8,non-specific
224,3,Stromal cells
225,1,Dist. tube
226,4,Duct
227,10,Endothelial
228,10,Endothelial
229,1,Dist. tube
230,7,Prox. tube
231,4,Duct
232,7,Prox. tube
233,3,Stromal cells
234,3,Stromal cells
235,8,non-specific
236,10,Endothelial
237,3,Stromal cells
238,10,Endothelial
239,7,Prox. tube
240,3,Stromal cells
241,8,non-specific
242,0,Macrophages
243,4,Duct
244,4,Duct
245,10,Endothelial
246,4,Duct
247,7,Prox. tube
248,4,Duct
249,3,Stromal cells
250,8,non-specific
251,7,Prox. tube
252,0,Macrophages
253,8,non-specific
254,4,Duct
255,8,non-specific
256,10,Endothelial
257,4,Duct
258,8,non-specific
259,8,non-specific
260,3,Stromal cells
261,4,Duct
262,8,non-specific
263,10,Endothelial
264,0,Macrophages
265,8,non-specific
266,9,CD8 T cells
267,4,Duct
268,10,Endothelial
269,10,Endothelial
270,7,Prox. tube
271,4,Duct
272,8,non-specific
273,7,Prox. tube
274,10,Endothelial
275,10,Endothelial
276,7,Prox. tube
277,4,Duct
278,0,Macrophages
279,10,Endothelial
280,7,Prox. tube
281,9,CD8 T cells
282,4,Duct
283,10,Endothelial
284,7,Prox. tube
285,4,Duct
286,7,Prox. tube
287,7,Prox. tube
288,1,Dist. tube
289,4,Duct
290,7,Prox. tube
291,7,Prox. tube
292,8,non-specific
293,10,Endothelial
294,7,Prox. tube
295,8,non-specific
296,7,Prox. tube
297,4,Duct
298,8,non-specific
299,4,Duct
300,7,Prox. tube
301,7,Prox. tube
302,7,Prox. tube
303,4,Duct
304,8,non-specific
305,7,Prox. tube
306,0,Macrophages
307,3,Stromal cells
308,4,Duct
309,8,non-specific
310,8,non-specific
311,3,Stromal cells
312,6,Podocytes
313,1,Dist. tube
314,1,Dist. tube
315,0,Macrophages
316,10,Endothelial
317,7,Prox. tube
318,4,Duct
319,8,non-specific
320,0,Macrophages
321,10,Endothelial
322,0,Macrophages
323,7,Prox. tube
324,1,Dist. tube
325,3,Stromal cells
326,1,Dist. tube
327,10,Endothelial
328,6,Podocytes
329,3,Stromal cells
330,8,non-specific
331,1,Dist. tube
332,7,Prox. tube
333,4,Duct
334,3,Stromal cells
335,9,CD8 T cells
336,0,Macrophages
337,10,Endothelial
338,7,Prox. tube
339,7,Prox. tube
340,3,Stromal cells
341,1,Dist. tube
342,10,Endothelial
343,7,Prox. tube
344,0,Macrophages
345,7,Prox. tube
346,7,Prox. tube
347,1,Dist. tube
348,7,Prox. tube
349,3,Stromal cells
350,10,Endothelial
351,7,Prox. tube
352,9,CD8 T cells
353,7,Prox. tube
354,7,Prox. tube
355,9,CD8 T cells
356,4,Duct
357,3,Stromal cells
358,7,Prox. tube
359,7,Prox. tube
360,7,Prox. tube
361,8,non-specific
362,3,Stromal cells
363,10,Endothelial
364,10,Endothelial
365,7,Prox. tube
366,7,Prox. tube
367,4,Duct
368,10,Endothelial
369,3,Stromal cells
370,8,non-specific
371,1,Dist. tube
372,7,Prox. tube
373,7,Prox. tube
374,7,Prox. tube
375,7,Prox. tube
376,4,Duct
377,10,Endothelial
378,3,Stromal cells
379,7,Prox. tube
380,8,non-specific
381,10,Endothelial
382,7,Prox. tube
383,7,Prox. tube
384,7,Prox. tube
385,10,Endothelial
386,3,Stromal cells
387,2,CD4 T cells
388,7,Prox. tube
389,10,Endothelial
390,4,Duct
391,1,Dist. tube
392,1,Dist. tube
393,4,Duct
394,7,Prox. tube
395,3,Stromal cells
396,0,Macrophages
397,9,CD8 T cells
398,10,Endothelial
399,1,Dist. tube
400,4,Duct
401,0,Macrophages
402,7,Prox. tube
403,10,Endothelial
404,3,Stromal cells
405,3,Stromal cells
406,6,Podocytes
407,10,Endothelial
408,4,Duct
409,8,non-specific
410,4,Duct
411,2,CD4 T cells
412,9,CD8 T cells
413,7,Prox. tube
414,6,Podocytes
415,4,Duct
416,2,CD4 T cells
417,1,Dist. tube
418,7,Prox. tube
419,10,Endothelial
420,0,Macrophages
421,3,Stromal cells
422,0,Macrophages
423,7,Prox. tube
424,9,CD8 T cells
425,4,Duct
426,7,Prox. tube
427,0,Macrophages
428,4,Duct
429,10,Endothelial
430,8,non-specific
431,3,Stromal cells
432,7,Prox. tube
433,7,Prox. tube
434,4,Duct
435,4,Duct
436,4,Duct
437,4,Duct
438,4,Duct
439,4,Duct
440,2,CD4 T cells
441,7,Prox. tube
442,0,Macrophages
443,1,Dist. tube
444,0,Macrophages
445,7,Prox. tube
446,0,Macrophages
