CELL_ID,VALUE,ANNOTATION_LABEL
1,0,Proximal tubules (CD183++/CD227-)
2,2,Immune cells (CD45+)
3,0,Proximal tubules (CD183++/CD227-)
4,2,Immune cells (CD45+)
5,0,Proximal tubules (CD183++/CD227-)
6,0,Proximal tubules (CD183++/CD227-)
7,0,Proximal tubules (CD183++/CD227-)
8,0,Proximal tubules (CD183++/CD227-)
9,0,Proximal tubules (CD183++/CD227-)
10,3,Endothelial cells (CD31+)
11,6,Basement membrane (collagenIV+/Perlecan+)
12,0,Proximal tubules (CD183++/CD227-)
13,0,Proximal tubules (CD183++/CD227-)
14,3,Endothelial cells (CD31+)
15,0,Proximal tubules (CD183++/CD227-)
16,0,Proximal tubules (CD183++/CD227-)
17,0,Proximal tubules (CD183++/CD227-)
18,0,Proximal tubules (CD183++/CD227-)
19,2,Immune cells (CD45+)
20,0,Proximal tubules (CD183++/CD227-)
21,0,Proximal tubules (CD183++/CD227-)
22,0,Proximal tubules (CD183++/CD227-)
23,3,Endothelial cells (CD31+)
24,0,Proximal tubules (CD183++/CD227-)
25,1,VSMCs (aSMA+)
26,0,Proximal tubules (CD183++/CD227-)
27,0,Proximal tubules (CD183++/CD227-)
28,0,Proximal tubules (CD183++/CD227-)
29,0,Proximal tubules (CD183++/CD227-)
30,0,Proximal tubules (CD183++/CD227-)
31,0,Proximal tubules (CD183++/CD227-)
32,0,Proximal tubules (CD183++/CD227-)
33,3,Endothelial cells (CD31+)
34,0,Proximal tubules (CD183++/CD227-)
35,1,VSMCs (aSMA+)
36,3,Endothelial cells (CD31+)
37,0,Proximal tubules (CD183++/CD227-)
38,0,Proximal tubules (CD183++/CD227-)
39,2,Immune cells (CD45+)
40,0,Proximal tubules (CD183++/CD227-)
41,0,Proximal tubules (CD183++/CD227-)
42,6,Basement membrane (collagenIV+/Perlecan+)
43,0,Proximal tubules (CD183++/CD227-)
44,0,Proximal tubules (CD183++/CD227-)
45,0,Proximal tubules (CD183++/CD227-)
46,3,Endothelial cells (CD31+)
47,1,VSMCs (aSMA+)
48,0,Proximal tubules (CD183++/CD227-)
49,0,Proximal tubules (CD183++/CD227-)
50,0,Proximal tubules (CD183++/CD227-)
51,10,Nestin+ cells (nestin+)
52,0,Proximal tubules (CD183++/CD227-)
53,0,Proximal tubules (CD183++/CD227-)
54,0,Proximal tubules (CD183++/CD227-)
55,6,Basement membrane (collagenIV+/Perlecan+)
56,0,Proximal tubules (CD183++/CD227-)
57,3,Endothelial cells (CD31+)
58,0,Proximal tubules (CD183++/CD227-)
59,0,Proximal tubules (CD183++/CD227-)
60,0,Proximal tubules (CD183++/CD227-)
61,0,Proximal tubules (CD183++/CD227-)
62,0,Proximal tubules (CD183++/CD227-)
63,3,Endothelial cells (CD31+)
64,3,Endothelial cells (CD31+)
65,3,Endothelial cells (CD31+)
66,0,Proximal tubules (CD183++/CD227-)
67,3,Endothelial cells (CD31+)
68,0,Proximal tubules (CD183++/CD227-)
69,0,Proximal tubules (CD183++/CD227-)
70,1,VSMCs (aSMA+)
71,0,Proximal tubules (CD183++/CD227-)
72,6,Basement membrane (collagenIV+/Perlecan+)
73,0,Proximal tubules (CD183++/CD227-)
74,0,Proximal tubules (CD183++/CD227-)
75,0,Proximal tubules (CD183++/CD227-)
76,2,Immune cells (CD45+)
77,0,Proximal tubules (CD183++/CD227-)
78,0,Proximal tubules (CD183++/CD227-)
79,0,Proximal tubules (CD183++/CD227-)
80,0,Proximal tubules (CD183++/CD227-)
81,0,Proximal tubules (CD183++/CD227-)
82,0,Proximal tubules (CD183++/CD227-)
83,2,Immune cells (CD45+)
84,0,Proximal tubules (CD183++/CD227-)
85,3,Endothelial cells (CD31+)
86,0,Proximal tubules (CD183++/CD227-)
87,0,Proximal tubules (CD183++/CD227-)
88,3,Endothelial cells (CD31+)
89,0,Proximal tubules (CD183++/CD227-)
90,0,Proximal tubules (CD183++/CD227-)
91,1,VSMCs (aSMA+)
92,8,Macrophages (CD45+/CD68+)
93,0,Proximal tubules (CD183++/CD227-)
94,0,Proximal tubules (CD183++/CD227-)
95,0,Proximal tubules (CD183++/CD227-)
96,8,Macrophages (CD45+/CD68+)
97,0,Proximal tubules (CD183++/CD227-)
98,0,Proximal tubules (CD183++/CD227-)
99,1,VSMCs (aSMA+)
100,6,Basement membrane (collagenIV+/Perlecan+)
101,0,Proximal tubules (CD183++/CD227-)
102,0,Proximal tubules (CD183++/CD227-)
103,0,Proximal tubules (CD183++/CD227-)
104,3,Endothelial cells (CD31+)
105,0,Proximal tubules (CD183++/CD227-)
106,0,Proximal tubules (CD183++/CD227-)
107,6,Basement membrane (collagenIV+/Perlecan+)
108,3,Endothelial cells (CD31+)
109,0,Proximal tubules (CD183++/CD227-)
110,0,Proximal tubules (CD183++/CD227-)
111,8,Macrophages (CD45+/CD68+)
112,1,VSMCs (aSMA+)
113,3,Endothelial cells (CD31+)
114,0,Proximal tubules (CD183++/CD227-)
115,0,Proximal tubules (CD183++/CD227-)
116,0,Proximal tubules (CD183++/CD227-)
117,10,Nestin+ cells (nestin+)
118,0,Proximal tubules (CD183++/CD227-)
119,6,Basement membrane (collagenIV+/Perlecan+)
120,0,Proximal tubules (CD183++/CD227-)
121,1,VSMCs (aSMA+)
122,0,Proximal tubules (CD183++/CD227-)
123,0,Proximal tubules (CD183++/CD227-)
124,3,Endothelial cells (CD31+)
125,0,Proximal tubules (CD183++/CD227-)
126,0,Proximal tubules (CD183++/CD227-)
127,1,VSMCs (aSMA+)
128,0,Proximal tubules (CD183++/CD227-)
129,0,Proximal tubules (CD183++/CD227-)
130,0,Proximal tubules (CD183++/CD227-)
131,0,Proximal tubules (CD183++/CD227-)
132,1,VSMCs (aSMA+)
133,0,Proximal tubules (CD183++/CD227-)
134,0,Proximal tubules (CD183++/CD227-)
135,0,Proximal tubules (CD183++/CD227-)
136,8,Macrophages (CD45+/CD68+)
137,6,Basement membrane (collagenIV+/Perlecan+)
138,1,VSMCs (aSMA+)
139,0,Proximal tubules (CD183++/CD227-)
140,1,VSMCs (aSMA+)
141,0,Proximal tubules (CD183++/CD227-)
142,8,Macrophages (CD45+/CD68+)
143,9,Myeloid cells (CD45+/CD11b+)
144,0,Proximal tubules (CD183++/CD227-)
145,3,Endothelial cells (CD31+)
146,0,Proximal tubules (CD183++/CD227-)
147,0,Proximal tubules (CD183++/CD227-)
148,3,Endothelial cells (CD31+)
149,3,Endothelial cells (CD31+)
150,0,Proximal tubules (CD183++/CD227-)
151,3,Endothelial cells (CD31+)
152,0,Proximal tubules (CD183++/CD227-)
153,0,Proximal tubules (CD183++/CD227-)
154,0,Proximal tubules (CD183++/CD227-)
155,1,VSMCs (aSMA+)
156,0,Proximal tubules (CD183++/CD227-)
157,1,VSMCs (aSMA+)
158,0,Proximal tubules (CD183++/CD227-)
159,0,Proximal tubules (CD183++/CD227-)
160,0,Proximal tubules (CD183++/CD227-)
161,3,Endothelial cells (CD31+)
162,0,Proximal tubules (CD183++/CD227-)
163,0,Proximal tubules (CD183++/CD227-)
164,3,Endothelial cells (CD31+)
165,6,Basement membrane (collagenIV+/Perlecan+)
166,6,Basement membrane (collagenIV+/Perlecan+)
167,3,Endothelial cells (CD31+)
168,0,Proximal tubules (CD183++/CD227-)
169,6,Basement membrane (collagenIV+/Perlecan+)
170,0,Proximal tubules (CD183++/CD227-)
171,0,Proximal tubules (CD183++/CD227-)
172,0,Proximal tubules (CD183++/CD227-)
173,9,Myeloid cells (CD45+/CD11b+)
174,0,Proximal tubules (CD183++/CD227-)
175,0,Proximal tubules (CD183++/CD227-)
176,0,Proximal tubules (CD183++/CD227-)
177,3,Endothelial cells (CD31+)
178,0,Proximal tubules (CD183++/CD227-)
179,0,Proximal tubules (CD183++/CD227-)
180,3,Endothelial cells (CD31+)
181,1,VSMCs (aSMA+)
182,0,Proximal tubules (CD183++/CD227-)
183,6,Basement membrane (collagenIV+/Perlecan+)
184,0,Proximal tubules (CD183++/CD227-)
185,0,Proximal tubules (CD183++/CD227-)
186,1,VSMCs (aSMA+)
187,5,Low expressing cells
188,0,Proximal tubules (CD183++/CD227-)
189,9,Myeloid cells (CD45+/CD11b+)
190,0,Proximal tubules (CD183++/CD227-)
191,0,Proximal tubules (CD183++/CD227-)
192,10,Nestin+ cells (nestin+)
193,1,VSMCs (aSMA+)
194,0,Proximal tubules (CD183++/CD227-)
195,0,Proximal tubules (CD183++/CD227-)
196,0,Proximal tubules (CD183++/CD227-)
197,2,Immune cells (CD45+)
198,0,Proximal tubules (CD183++/CD227-)
199,0,Proximal tubules (CD183++/CD227-)
200,0,Proximal tubules (CD183++/CD227-)
201,8,Macrophages (CD45+/CD68+)
202,0,Proximal tubules (CD183++/CD227-)
203,0,Proximal tubules (CD183++/CD227-)
204,3,Endothelial cells (CD31+)
205,0,Proximal tubules (CD183++/CD227-)
206,4,Distal tubules (CD183+/CD227+)
207,6,Basement membrane (collagenIV+/Perlecan+)
208,0,Proximal tubules (CD183++/CD227-)
209,3,Endothelial cells (CD31+)
210,0,Proximal tubules (CD183++/CD227-)
211,0,Proximal tubules (CD183++/CD227-)
212,1,VSMCs (aSMA+)
213,1,VSMCs (aSMA+)
214,5,Low expressing cells
215,0,Proximal tubules (CD183++/CD227-)
216,0,Proximal tubules (CD183++/CD227-)
217,3,Endothelial cells (CD31+)
218,0,Proximal tubules (CD183++/CD227-)
219,0,Proximal tubules (CD183++/CD227-)
220,0,Proximal tubules (CD183++/CD227-)
221,0,Proximal tubules (CD183++/CD227-)
222,0,Proximal tubules (CD183++/CD227-)
223,0,Proximal tubules (CD183++/CD227-)
224,0,Proximal tubules (CD183++/CD227-)
225,4,Distal tubules (CD183+/CD227+)
226,3,Endothelial cells (CD31+)
227,0,Proximal tubules (CD183++/CD227-)
228,0,Proximal tubules (CD183++/CD227-)
229,1,VSMCs (aSMA+)
230,6,Basement membrane (collagenIV+/Perlecan+)
231,0,Proximal tubules (CD183++/CD227-)
232,0,Proximal tubules (CD183++/CD227-)
233,2,Immune cells (CD45+)
234,10,Nestin+ cells (nestin+)
235,0,Proximal tubules (CD183++/CD227-)
236,0,Proximal tubules (CD183++/CD227-)
237,6,Basement membrane (collagenIV+/Perlecan+)
238,0,Proximal tubules (CD183++/CD227-)
239,4,Distal tubules (CD183+/CD227+)
240,1,VSMCs (aSMA+)
241,0,Proximal tubules (CD183++/CD227-)
242,0,Proximal tubules (CD183++/CD227-)
243,3,Endothelial cells (CD31+)
244,4,Distal tubules (CD183+/CD227+)
245,3,Endothelial cells (CD31+)
246,0,Proximal tubules (CD183++/CD227-)
247,3,Endothelial cells (CD31+)
248,4,Distal tubules (CD183+/CD227+)
249,0,Proximal tubules (CD183++/CD227-)
250,0,Proximal tubules (CD183++/CD227-)
251,3,Endothelial cells (CD31+)
252,0,Proximal tubules (CD183++/CD227-)
253,0,Proximal tubules (CD183++/CD227-)
254,2,Immune cells (CD45+)
255,1,VSMCs (aSMA+)
256,0,Proximal tubules (CD183++/CD227-)
257,4,Distal tubules (CD183+/CD227+)
258,0,Proximal tubules (CD183++/CD227-)
259,0,Proximal tubules (CD183++/CD227-)
260,0,Proximal tubules (CD183++/CD227-)
261,1,VSMCs (aSMA+)
262,3,Endothelial cells (CD31+)
263,3,Endothelial cells (CD31+)
264,0,Proximal tubules (CD183++/CD227-)
265,0,Proximal tubules (CD183++/CD227-)
266,1,VSMCs (aSMA+)
267,0,Proximal tubules (CD183++/CD227-)
268,0,Proximal tubules (CD183++/CD227-)
269,9,Myeloid cells (CD45+/CD11b+)
270,1,VSMCs (aSMA+)
271,3,Endothelial cells (CD31+)
272,0,Proximal tubules (CD183++/CD227-)
273,1,VSMCs (aSMA+)
274,4,Distal tubules (CD183+/CD227+)
275,0,Proximal tubules (CD183++/CD227-)
276,0,Proximal tubules (CD183++/CD227-)
277,0,Proximal tubules (CD183++/CD227-)
278,8,Macrophages (CD45+/CD68+)
279,0,Proximal tubules (CD183++/CD227-)
280,0,Proximal tubules (CD183++/CD227-)
281,0,Proximal tubules (CD183++/CD227-)
282,1,VSMCs (aSMA+)
283,10,Nestin+ cells (nestin+)
284,0,Proximal tubules (CD183++/CD227-)
285,0,Proximal tubules (CD183++/CD227-)
286,3,Endothelial cells (CD31+)
287,0,Proximal tubules (CD183++/CD227-)
288,8,Macrophages (CD45+/CD68+)
289,3,Endothelial cells (CD31+)
290,0,Proximal tubules (CD183++/CD227-)
291,3,Endothelial cells (CD31+)
292,0,Proximal tubules (CD183++/CD227-)
293,9,Myeloid cells (CD45+/CD11b+)
294,0,Proximal tubules (CD183++/CD227-)
295,0,Proximal tubules (CD183++/CD227-)
296,10,Nestin+ cells (nestin+)
297,0,Proximal tubules (CD183++/CD227-)
298,6,Basement membrane (collagenIV+/Perlecan+)
299,0,Proximal tubules (CD183++/CD227-)
300,5,Low expressing cells
301,0,Proximal tubules (CD183++/CD227-)
302,0,Proximal tubules (CD183++/CD227-)
303,0,Proximal tubules (CD183++/CD227-)
304,5,Low expressing cells
305,0,Proximal tubules (CD183++/CD227-)
306,1,VSMCs (aSMA+)
307,0,Proximal tubules (CD183++/CD227-)
308,1,VSMCs (aSMA+)
309,2,Immune cells (CD45+)
310,0,Proximal tubules (CD183++/CD227-)
311,3,Endothelial cells (CD31+)
312,3,Endothelial cells (CD31+)
313,3,Endothelial cells (CD31+)
314,8,Macrophages (CD45+/CD68+)
315,0,Proximal tubules (CD183++/CD227-)
316,0,Proximal tubules (CD183++/CD227-)
317,0,Proximal tubules (CD183++/CD227-)
318,0,Proximal tubules (CD183++/CD227-)
319,0,Proximal tubules (CD183++/CD227-)
320,0,Proximal tubules (CD183++/CD227-)
321,0,Proximal tubules (CD183++/CD227-)
322,0,Proximal tubules (CD183++/CD227-)
323,0,Proximal tubules (CD183++/CD227-)
324,1,VSMCs (aSMA+)
325,3,Endothelial cells (CD31+)
326,1,VSMCs (aSMA+)
327,0,Proximal tubules (CD183++/CD227-)
328,0,Proximal tubules (CD183++/CD227-)
329,3,Endothelial cells (CD31+)
330,1,VSMCs (aSMA+)
331,0,Proximal tubules (CD183++/CD227-)
332,0,Proximal tubules (CD183++/CD227-)
333,6,Basement membrane (collagenIV+/Perlecan+)
334,2,Immune cells (CD45+)
335,1,VSMCs (aSMA+)
336,3,Endothelial cells (CD31+)
337,3,Endothelial cells (CD31+)
338,1,VSMCs (aSMA+)
339,8,Macrophages (CD45+/CD68+)
340,3,Endothelial cells (CD31+)
341,6,Basement membrane (collagenIV+/Perlecan+)
342,0,Proximal tubules (CD183++/CD227-)
343,0,Proximal tubules (CD183++/CD227-)
344,0,Proximal tubules (CD183++/CD227-)
345,0,Proximal tubules (CD183++/CD227-)
346,0,Proximal tubules (CD183++/CD227-)
347,0,Proximal tubules (CD183++/CD227-)
348,0,Proximal tubules (CD183++/CD227-)
349,6,Basement membrane (collagenIV+/Perlecan+)
350,0,Proximal tubules (CD183++/CD227-)
351,5,Low expressing cells
352,0,Proximal tubules (CD183++/CD227-)
353,0,Proximal tubules (CD183++/CD227-)
354,0,Proximal tubules (CD183++/CD227-)
355,6,Basement membrane (collagenIV+/Perlecan+)
356,3,Endothelial cells (CD31+)
357,1,VSMCs (aSMA+)
358,0,Proximal tubules (CD183++/CD227-)
359,0,Proximal tubules (CD183++/CD227-)
360,0,Proximal tubules (CD183++/CD227-)
361,1,VSMCs (aSMA+)
362,0,Proximal tubules (CD183++/CD227-)
363,6,Basement membrane (collagenIV+/Perlecan+)
364,6,Basement membrane (collagenIV+/Perlecan+)
365,0,Proximal tubules (CD183++/CD227-)
366,0,Proximal tubules (CD183++/CD227-)
367,0,Proximal tubules (CD183++/CD227-)
368,0,Proximal tubules (CD183++/CD227-)
369,0,Proximal tubules (CD183++/CD227-)
370,0,Proximal tubules (CD183++/CD227-)
371,2,Immune cells (CD45+)
372,0,Proximal tubules (CD183++/CD227-)
373,1,VSMCs (aSMA+)
374,0,Proximal tubules (CD183++/CD227-)
375,6,Basement membrane (collagenIV+/Perlecan+)
376,3,Endothelial cells (CD31+)
377,0,Proximal tubules (CD183++/CD227-)
378,1,VSMCs (aSMA+)
379,0,Proximal tubules (CD183++/CD227-)
380,3,Endothelial cells (CD31+)
381,0,Proximal tubules (CD183++/CD227-)
382,10,Nestin+ cells (nestin+)
383,3,Endothelial cells (CD31+)
384,0,Proximal tubules (CD183++/CD227-)
385,3,Endothelial cells (CD31+)
386,6,Basement membrane (collagenIV+/Perlecan+)
387,1,VSMCs (aSMA+)
388,0,Proximal tubules (CD183++/CD227-)
389,0,Proximal tubules (CD183++/CD227-)
390,8,Macrophages (CD45+/CD68+)
391,3,Endothelial cells (CD31+)
392,0,Proximal tubules (CD183++/CD227-)
393,0,Proximal tubules (CD183++/CD227-)
394,6,Basement membrane (collagenIV+/Perlecan+)
395,3,Endothelial cells (CD31+)
396,2,Immune cells (CD45+)
397,1,VSMCs (aSMA+)
398,0,Proximal tubules (CD183++/CD227-)
399,0,Proximal tubules (CD183++/CD227-)
400,1,VSMCs (aSMA+)
401,1,VSMCs (aSMA+)
402,8,Macrophages (CD45+/CD68+)
403,1,VSMCs (aSMA+)
404,0,Proximal tubules (CD183++/CD227-)
405,10,Nestin+ cells (nestin+)
